,Timestamp,High/Low,Pred(Ft)
516,2020-05-13 14:54:00,Low Tide,0.42
517,2020-05-13 21:16:00,High Tide,8.97
518,2020-05-14 03:11:00,Low Tide,1.69
519,2020-05-14 09:26:00,High Tide,9.54
520,2020-05-14 15:52:00,Low Tide,0.89
521,2020-05-14 22:15:00,High Tide,8.79
522,2020-05-15 04:12:00,Low Tide,1.91
523,2020-05-15 10:27:00,High Tide,9.17
524,2020-05-15 16:49:00,Low Tide,1.21
525,2020-05-15 23:12:00,High Tide,8.76
526,2020-05-16 05:11:00,Low Tide,1.94
527,2020-05-16 11:26:00,High Tide,8.96
528,2020-05-16 17:43:00,Low Tide,1.39
529,2020-05-17 00:06:00,High Tide,8.89
530,2020-05-17 06:09:00,Low Tide,1.79
531,2020-05-17 12:24:00,High Tide,8.89
532,2020-05-17 18:35:00,Low Tide,1.45
533,2020-05-18 00:56:00,High Tide,9.12
534,2020-05-18 07:04:00,Low Tide,1.52
535,2020-05-18 13:17:00,High Tide,8.94
536,2020-05-18 19:22:00,Low Tide,1.41
537,2020-05-19 01:41:00,High Tide,9.41
538,2020-05-19 07:52:00,Low Tide,1.19
539,2020-05-19 14:04:00,High Tide,9.03
540,2020-05-19 20:04:00,Low Tide,1.34
541,2020-05-20 02:21:00,High Tide,9.69
542,2020-05-20 08:35:00,Low Tide,0.85
543,2020-05-20 14:47:00,High Tide,9.13
544,2020-05-20 20:44:00,Low Tide,1.26
545,2020-05-21 02:58:00,High Tide,9.93
546,2020-05-21 09:15:00,Low Tide,0.57
547,2020-05-21 15:27:00,High Tide,9.18
548,2020-05-21 21:23:00,Low Tide,1.21
549,2020-05-22 03:34:00,High Tide,10.1
550,2020-05-22 09:54:00,Low Tide,0.35
551,2020-05-22 16:07:00,High Tide,9.2
552,2020-05-22 22:01:00,Low Tide,1.2
553,2020-05-23 04:11:00,High Tide,10.22
554,2020-05-23 10:34:00,Low Tide,0.21
555,2020-05-23 16:47:00,High Tide,9.17
556,2020-05-23 22:40:00,Low Tide,1.22
557,2020-05-24 04:49:00,High Tide,10.28
558,2020-05-24 11:14:00,Low Tide,0.13
559,2020-05-24 17:27:00,High Tide,9.12
560,2020-05-24 23:21:00,Low Tide,1.27
561,2020-05-25 05:28:00,High Tide,10.31
